For the ST, I used a hash table for representation
+--------+----------------+
| ST_POS |     SYMBOL     |
+--------+----------------+
|   0    |       []       |
|   1    |       []       |
|   2    |       []       |
|   3    |       []       |
|   4    |       []       |
|   5    |       []       |
|   6    |       []       |
|   7    |       []       |
|   8    |     ['0']      |
|   9    |       []       |
|   10   |       []       |
|   11   |     ['3']      |
|   12   |       []       |
|   13   |       []       |
|   14   |       []       |
|   15   |       []       |
|   16   |       []       |
|   17   |     ['a']      |
|   18   |       []       |
|   19   |       []       |
|   20   |       []       |
|   21   |    ['sum']     |
|   22   |       []       |
|   23   |       []       |
|   24   |     ['nr']     |
|   25   |     ['i']      |
|   26   |       []       |
|   27   |       []       |
|   28   |       []       |
|   29   |       []       |
|   30   | ['n', 'Enter'] |
|   31   |       []       |
|   32   |       []       |
|   33   |       []       |
|   34   |       []       |
|   35   |       []       |
|   36   |       []       |
|   37   |       []       |
|   38   |     ['v']      |
|   39   |       []       |
+--------+----------------+
