+----------+---------+
|  TOKEN   |  ST_POS |
+----------+---------+
|    go    |    -1   |
| variable |    -1   |
|    ID    | (30, 0) |
|    ^     |    -1   |
|   int    |    -1   |
| variable |    -1   |
|    ID    | (25, 0) |
|    ^     |    -1   |
|   int    |    -1   |
| variable |    -1   |
|    ID    | (21, 0) |
|    ^     |    -1   |
|   int    |    -1   |
| variable |    -1   |
|    ID    | (24, 0) |
|    ^     |    -1   |
|   int    |    -1   |
|  vector  |    -1   |
|    ID    | (38, 0) |
|    [     |    -1   |
| CONSTANT | (11, 0) |
|    ]     |    -1   |
|   ==>    |    -1   |
|   int    |    -1   |
| CONSTANT | (30, 0) |
|   <=>    |    -1   |
|  input   |    -1   |
|    (     |    -1   |
|    "     |    -1   |
| CONSTANT | (30, 1) |
| CONSTANT | (30, 0) |
|    :     |    -1   |
|    "     |    -1   |
|    )     |    -1   |
|    ID    | (21, 0) |
|   <=>    |    -1   |
| CONSTANT |  (8, 0) |
|   for    |    -1   |
|    ID    | (25, 0) |
|    in    |    -1   |
|  range   |    -1   |
|    (     |    -1   |
| CONSTANT |  (8, 0) |
|    ,     |    -1   |
|    ID    | (30, 0) |
|    )     |    -1   |
|    :     |    -1   |
| CONSTANT | (24, 0) |
|   <=>    |    -1   |
|  input   |    -1   |
|    (     |    -1   |
|    "     |    -1   |
| CONSTANT | (30, 1) |
| CONSTANT | (17, 0) |
| CONSTANT | (24, 0) |
|    :     |    -1   |
|    "     |    -1   |
|    )     |    -1   |
|    ID    | (21, 0) |
|   <=>    |    -1   |
|    ID    | (21, 0) |
|    +     |    -1   |
|    ID    | (24, 0) |
| display  |    -1   |
|    (     |    -1   |
|    ID    | (21, 0) |
|    )     |    -1   |
|   stop   |    -1   |
+----------+---------+
